,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
38,"Univ Calif Los Angeles, Los Angeles, CA USA","Univ Calif Los Angeles, Los Angeles, CA USA",31463,"{'primary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.7687223180590621}], 'secondary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.5639852000024064}], 'tertiary organization': [{'text': 'univ calif', 'start': 0, 'end': 10, 'probability': 0.9033714953942251}], 'city': [{'text': 'los angeles', 'start': 24, 'end': 35, 'probability': 0.9985528842984337}, {'text': 'los angeles', 'start': 11, 'end': 22, 'probability': 0.9924320408820648}], 'country': [{'text': 'usa', 'start': 40, 'end': 43, 'probability': 0.9998099878245057}]}",univ calif
39,"Northwestern Polytechnical University(Northwestern Polytechnical University,Northwestern Polytechnical Univ),Xi'an,China","Northwestern Polytechnical University(Northwestern Polytechnical University,Northwestern Polytechnical Univ),Xi'an,China",30906,"{'primary organization': [{'text': 'northwestern polytechnical university', 'start': 0, 'end': 37, 'probability': 0.9891727324531985}, {'text': 'northwestern polytechnical univ', 'start': 76, 'end': 107, 'probability': 0.5309357475050689}, {'text': 'northwestern polytechnical university', 'start': 38, 'end': 75, 'probability': 0.7982220109274465}], 'secondary organization': [{'text': 'northwestern polytechnical university', 'start': 0, 'end': 37, 'probability': 0.9800866107205408}, {'text': 'northwestern polytechnical university', 'start': 38, 'end': 75, 'probability': 0.49974916820687554}], 'tertiary organization': [{'text': 'northwestern polytechnical university', 'start': 0, 'end': 37, 'probability': 0.9890589648940704}, {'text': 'northwestern polytechnical univ', 'start': 76, 'end': 107, 'probability': 0.6635240230687671}, {'text': 'northwestern polytechnical university', 'start': 38, 'end': 75, 'probability': 0.8575916494258564}], 'city': [{'text': ""xi'an"", 'start': 109, 'end': 114, 'probability': 0.999794964313903}], 'country': [{'text': 'china', 'start': 115, 'end': 120, 'probability': 0.9997133640014866}]}",northwestern polytechnical university
40,"Univ Alabama Birmingham, Birmingham, AL USA","Univ Alabama Birmingham, Birmingham, AL USA",30725,"{'primary organization': [{'text': 'univ alabama', 'start': 0, 'end': 12, 'probability': 0.9990787011558382}], 'secondary organization': [{'text': 'univ alabama', 'start': 0, 'end': 12, 'probability': 0.9765907052051759}], 'tertiary organization': [{'text': 'univ alabama', 'start': 0, 'end': 12, 'probability': 0.9981382556616012}], 'city': [{'text': 'birmingham', 'start': 25, 'end': 35, 'probability': 0.9998798405583464}, {'text': 'birmingham', 'start': 13, 'end': 23, 'probability': 0.9996541426476497}], 'country': [{'text': 'usa', 'start': 40, 'end': 43, 'probability': 0.9999665024181468}]}",univ alabama
41,"South China University of Technology(South China University of Technology,South China Univ. of Technol.),Guangzhou,China","South China University of Technology(South China University of Technology,South China Univ. of Technol.),Guangzhou,China",30557,"{'primary organization': [{'text': 'south china university of technology', 'start': 0, 'end': 36, 'probability': 0.9669462520946936}, {'text': 'south china university of technology', 'start': 37, 'end': 73, 'probability': 0.3412804653963377}], 'secondary organization': [{'text': 'south china university of technology', 'start': 0, 'end': 36, 'probability': 0.9846893063230802}], 'tertiary organization': [{'text': 'south china university of technology', 'start': 0, 'end': 36, 'probability': 0.9875890282676281}, {'text': 'south china university of technology', 'start': 37, 'end': 73, 'probability': 0.3768927152388848}], 'city': [{'text': 'guangzhou', 'start': 105, 'end': 114, 'probability': 0.999960482478528}], 'country': [{'text': 'south china', 'start': 74, 'end': 85, 'probability': 0.8579700191657054}, {'text': 'china', 'start': 6, 'end': 11, 'probability': 0.5779289662720899}, {'text': 'china', 'start': 43, 'end': 48, 'probability': 0.6003329103969435}, {'text': 'china', 'start': 115, 'end': 120, 'probability': 0.9967022739151474}]}",south china university of technology
42,"Inst High Energy Phys, Beijing 100049, Peoples R China","Inst High Energy Phys, Beijing 100049, Peoples R China",30366,"{'primary organization': [{'text': 'high energy phys', 'start': 5, 'end': 21, 'probability': 0.9778786152246326}], 'secondary organization': [{'text': 'high energy phys', 'start': 5, 'end': 21, 'probability': 0.9280272540605914}], 'tertiary organization': [{'text': 'high energy phys', 'start': 5, 'end': 21, 'probability': 0.7327115155972912}], 'city': [{'text': 'beijing', 'start': 23, 'end': 30, 'probability': 0.9999902844650066}], 'postal code': [{'text': '100049', 'start': 31, 'end': 37, 'probability': 0.8991445120804116}], 'country': [{'text': 'china', 'start': 49, 'end': 54, 'probability': 0.9999890923779517}]}",high energy phys
43,"University of Electronic Science and Technology of China(University of Electronic Science and Technology of China),Chengdu,China","University of Electronic Science and Technology of China(University of Electronic Science and Technology of China),Chengdu,China",28978,"{'primary organization': [{'text': 'university of electronic science and technology of china', 'start': 57, 'end': 113, 'probability': 0.9676372385259668}, {'text': 'university of electronic science and technology of china', 'start': 0, 'end': 56, 'probability': 0.9865850606372817}], 'secondary organization': [{'text': 'university of electronic science and technology of china', 'start': 57, 'end': 113, 'probability': 0.937397350141957}, {'text': 'university of electronic science and technology of china', 'start': 0, 'end': 56, 'probability': 0.9607641666666389}], 'tertiary organization': [{'text': 'university of electronic science and technology of china', 'start': 57, 'end': 113, 'probability': 0.9927071215592704}, {'text': 'university of electronic science and technology of china', 'start': 0, 'end': 56, 'probability': 0.9960436878371297}], 'city': [{'text': 'chengdu', 'start': 115, 'end': 122, 'probability': 0.9997388165949026}], 'country': [{'text': 'china', 'start': 108, 'end': 113, 'probability': 0.9999228128343134}, {'text': 'china', 'start': 51, 'end': 56, 'probability': 0.9999072563326905}, {'text': 'china', 'start': 123, 'end': 128, 'probability': 0.9998729853586852}]}",university of electronic science and technology of china
44,"Xidian University(Xidian University,Xidian Univ.),Xi An,China","Xidian University(Xidian University,Xidian Univ.),Xi An,China",28964,"{'primary organization': [{'text': 'xidian university', 'start': 0, 'end': 17, 'probability': 0.9360227845668874}, {'text': 'xidian university', 'start': 18, 'end': 35, 'probability': 0.5738427007295464}], 'secondary organization': [{'text': 'xidian university', 'start': 0, 'end': 17, 'probability': 0.9157570038234653}, {'text': 'xidian university', 'start': 18, 'end': 35, 'probability': 0.5348874108549495}], 'tertiary organization': [{'text': 'xidian university', 'start': 0, 'end': 17, 'probability': 0.950070906157368}, {'text': 'xidian university', 'start': 18, 'end': 35, 'probability': 0.7199005835120715}], 'city': [{'text': 'xi an', 'start': 50, 'end': 55, 'probability': 0.9920108611575564}], 'country': [{'text': 'china', 'start': 56, 'end': 61, 'probability': 0.9999750853795497}]}",xidian university
45,"Chongqing University(Chongqing University),Chongqing,China","Chongqing University(Chongqing University),Chongqing,China",28940,"{'primary organization': [{'text': 'chongqing university', 'start': 0, 'end': 20, 'probability': 0.9952997724684352}, {'text': 'chongqing university', 'start': 21, 'end': 41, 'probability': 0.9907808883382998}], 'secondary organization': [{'text': 'chongqing university', 'start': 0, 'end': 20, 'probability': 0.9766820100125813}, {'text': 'chongqing university', 'start': 21, 'end': 41, 'probability': 0.9790424794215191}], 'tertiary organization': [{'text': 'chongqing university', 'start': 0, 'end': 20, 'probability': 0.996554415265166}, {'text': 'chongqing university', 'start': 21, 'end': 41, 'probability': 0.9950773072009156}], 'city': [{'text': 'chongqing', 'start': 43, 'end': 52, 'probability': 0.991053000460731}, {'text': 'chongqing', 'start': 21, 'end': 30, 'probability': 0.5523401168923812}], 'country': [{'text': 'china', 'start': 53, 'end': 58, 'probability': 0.9999786616293882}]}",chongqing university
46,instituto politecnico nacional,instituto politecnico nacional,28058,"{'primary organization': [{'text': 'instituto politecnico nacional', 'start': 0, 'end': 30, 'probability': 0.9995202922504021}], 'secondary organization': [{'text': 'instituto politecnico nacional', 'start': 0, 'end': 30, 'probability': 0.9899388543360494}], 'tertiary organization': [{'text': 'instituto politecnico nacional', 'start': 0, 'end': 30, 'probability': 0.998799267187735}]}",instituto politecnico nacional
47,"Nanjing University of Aeronautics and Astronautics(Nanjing University of Aeronautics and Astronautics,Nanjing Univ. of Aero. and Astron.),Nanjing,China","Nanjing University of Aeronautics and Astronautics(Nanjing University of Aeronautics and Astronautics,Nanjing Univ. of Aero. and Astron.),Nanjing,China",27814,"{'primary organization': [{'text': 'nanjing university of aeronautics and astronautics', 'start': 51, 'end': 101, 'probability': 0.767498969528333}, {'text': 'nanjing university of aeronautics and astronautics', 'start': 0, 'end': 50, 'probability': 0.8695077154871313}], 'secondary organization': [{'text': 'nanjing university of aeronautics and astronautics', 'start': 51, 'end': 101, 'probability': 0.6262903455649109}, {'text': 'nanjing university of aeronautics and astronautics', 'start': 0, 'end': 50, 'probability': 0.7358412213043053}], 'tertiary organization': [{'text': 'nanjing university of aeronautics and astronautics', 'start': 51, 'end': 101, 'probability': 0.7959565345605171}, {'text': 'nanjing univ. of aero. and astron.', 'start': 102, 'end': 136, 'probability': 0.4007783545443999}, {'text': 'nanjing university of aeronautics and astronautics', 'start': 0, 'end': 50, 'probability': 0.8480847734831514}], 'city': [{'text': 'nanjing', 'start': 102, 'end': 109, 'probability': 0.9961036505233096}, {'text': 'nanjing', 'start': 0, 'end': 7, 'probability': 0.9807906158917774}, {'text': 'nanjing', 'start': 51, 'end': 58, 'probability': 0.9811447174087107}, {'text': 'nanjing', 'start': 138, 'end': 145, 'probability': 0.9992631234451821}], 'country': [{'text': 'china', 'start': 146, 'end': 151, 'probability': 0.999976456263596}]}",nanjing university of aeronautics and astronautics
48,texas a m university,texas a m universityersity,27476,"{'primary organization': [{'text': 'texas a m university', 'start': 0, 'end': 20, 'probability': 0.7217159285956427}], 'secondary organization': [{'text': 'texas a m university', 'start': 0, 'end': 20, 'probability': 0.40375862076483315}], 'tertiary organization': [{'text': 'texas a m university', 'start': 0, 'end': 20, 'probability': 0.44028078549260385}]}",texas a m university
49,"Beijing University of Technology(Beijing University of Technology,Beijing Polytechnic University),Beijing,China","Beijing University of Technology(Beijing University of Technology,Beijing Polytechnic University),Beijing,China",27373,"{'primary organization': [{'text': 'beijing university of technology', 'start': 0, 'end': 32, 'probability': 0.8011485610633855}, {'text': 'beijing university of technology', 'start': 33, 'end': 65, 'probability': 0.4138200596115098}, {'text': 'beijing polytechnic university', 'start': 66, 'end': 96, 'probability': 0.39063905226373663}], 'secondary organization': [{'text': 'beijing university of technology', 'start': 0, 'end': 32, 'probability': 0.6272191756769416}], 'tertiary organization': [{'text': 'beijing university of technology', 'start': 0, 'end': 32, 'probability': 0.8483413790673318}, {'text': 'beijing university of technology', 'start': 33, 'end': 65, 'probability': 0.48708485911838295}, {'text': 'beijing polytechnic university', 'start': 66, 'end': 96, 'probability': 0.6353042265930142}], 'city': [{'text': 'beijing', 'start': 98, 'end': 105, 'probability': 0.9980086396158647}, {'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.5494615200251474}, {'text': 'beijing', 'start': 33, 'end': 40, 'probability': 0.91400984347095}, {'text': 'beijing', 'start': 66, 'end': 73, 'probability': 0.9160032888295575}], 'country': [{'text': 'china', 'start': 106, 'end': 111, 'probability': 0.9999635221348733}]}",beijing university of technology
50,"Beijing University of Posts and Telecommunications(Beijing University of Posts and Telecommunications,Beijing Univ. of Posts and Telecom.),Beijing,China","Beijing University of Posts and Telecommunications(Beijing University of Posts and Telecommunications,Beijing Univ. of Posts and Telecom.),Beijing,China",27256,"{'primary organization': [{'text': 'beijing university of posts and telecommunications', 'start': 51, 'end': 101, 'probability': 0.46750914216966066}, {'text': 'beijing univ. of posts and telecom.', 'start': 102, 'end': 137, 'probability': 0.3567569988975272}, {'text': 'beijing university of posts and telecommunications', 'start': 0, 'end': 50, 'probability': 0.6911054606667193}], 'secondary organization': [{'text': 'beijing university of posts and telecommunications', 'start': 0, 'end': 50, 'probability': 0.6272178584900416}], 'tertiary organization': [{'text': 'beijing univ. of posts and telecom.', 'start': 102, 'end': 137, 'probability': 0.41635921890646443}, {'text': 'beijing university of posts and telecommunications', 'start': 0, 'end': 50, 'probability': 0.8346936614688616}], 'city': [{'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.972734556928188}, {'text': 'beijing', 'start': 51, 'end': 58, 'probability': 0.9855696443219166}, {'text': 'beijing', 'start': 139, 'end': 146, 'probability': 0.9991016007307785}, {'text': 'beijing', 'start': 102, 'end': 109, 'probability': 0.9922172479044633}], 'country': [{'text': 'china', 'start': 147, 'end': 152, 'probability': 0.9999757410068142}]}",beijing university of posts and telecommunications
