,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
174,sun yat sen university,sun yat sen university,sun yat sen university,10198,sun yat sen university
175,"pacific nw national laboratory, richland, wa 99352 usa","pacific nw natl lab, richland, wa 99352 usa","pacific nw national laboratory, richland, wa 99352 usa",10170,pacific nw national laboratory
176,martin luther university of halle wittenberg,martin luther university of halle wittenberg,martin luther university of halle wittenberg,10108,martin luther university of halle wittenberg
177,"university arkansas medicine sciences, little rock, ar 72205 usa","univ arkansas med sci, little rock, ar 72205 usa","university arkansas medicine sciences, little rock, ar 72205 usa",10072,university arkansas medicine sciences
178,",et al",",et al",",et al",10058,NaN
179,"fermilab national accelerator laboratory, pob 500, batavia, il 60510 usa","fermilab natl accelerator lab, pob 500, batavia, il 60510 usa","fermilab national accelerator laboratory, pob 500, batavia, il 60510 usa",10032,fermilab national accelerator laboratory
180,"ut md anderson canc center, houston, tx usa","ut md anderson canc ctr, houston, tx usa","ut md anderson canc center, houston, tx usa",10029,NaN
181,"university texas health sciences center san antonio, san antonio, tx 78229 usa","univ texas hlth sci ctr san antonio, san antonio, tx 78229 usa","university texas health sciences center san antonio, san antonio, tx 78229 usa",9996,university texas health sciences center
182,"chinese academy sciences, institute high energy physics, beijing 100049, peoples r china","chinese acad sci, inst high energy phys, beijing 100049, peoples r china","chinese academy sciences, institute high energy physics, beijing 100049, peoples r china",9993,institute high energy physics
183,"novartis pharma ag, basel, switzerland","novartis pharma ag, basel, switzerland","novartis pharma ag, basel, switzerland",9975,novartis pharma ag
184,"capital medical university china(capital university of medical sciences,capital medical university),beijing,china","capital medical university china(capital university of medical sciences,capital medical university),beijing,china","capital medical university china(capital university of medical sciences,capital medical university),beijing,china",9924,capital medical university
185,academy of sciences of the czech republic,academy of sciences of the czech republic,academy of sciences of the czech republic,9783,academy of sciences
186,"georgia institute technology, sch elect and comp engineering, atlanta, ga 30332 usa","georgia inst technol, sch elect & comp engn, atlanta, ga 30332 usa","georgia institute technology, sch elect and comp engineering, atlanta, ga 30332 usa",9751,georgia institute technology
187,"chengdu university of technology(chengdu university of technology),chengdu,china","chengdu university of technology(chengdu university of technology),chengdu,china","chengdu university of technology(chengdu university of technology),chengdu,china",9709,chengdu university of technology
188,"kunming university of science and technology(kunming university of science and technology),kunming,china","kunming university of science and technology(kunming university of science and technology),kunming,china","kunming university of science and technology(kunming university of science and technology),kunming,china",9703,kunming university of science and technology
189,"medicine university s carolina, charleston, sc 29425 usa","med univ s carolina, charleston, sc 29425 usa","medicine university s carolina, charleston, sc 29425 usa",9672,medicine university s carolina
190,"university calif santa barbara, santa barbara, ca 93106 usa","univ calif santa barbara, santa barbara, ca 93106 usa","university calif santa barbara, santa barbara, ca 93106 usa",9653,NaN
191,pontificia universidade catolica do rio grande do sul,pontificia universidade catolica do rio grande do sul,pontificia universidade catolica do rio grande do sul,9653,pontificia universidade catolica do rio grande do sul
192,"northwestern university(northwestern university),evanston,united states","northwestern university(northwestern university),evanston,united states","northwestern university(northwestern university),evanston,united states",9646,northwestern university
193,"nanyang technology university, sch materials sciences and engineering, singapore 639798, singapore","nanyang technol univ, sch mat sci & engn, singapore 639798, singapore","nanyang technology university, sch materials sciences and engineering, singapore 639798, singapore",9627,nanyang technology university
194,charite,charite,charite,9559,charite
195,"chang'an university(chang'an university),xi an,china","chang'an university(chang'an university),xi an,china","chang'an university(chang'an university),xi an,china",9528,chang'an university
196,"ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china","ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china","ocean university of china(ocean university of china,ocean university of qingdao),qingdao,china",9503,ocean university of china
197,"h lee moffitt canc center and research institute, tampa, fl usa","h lee moffitt canc ctr & res inst, tampa, fl usa","h lee moffitt canc center and research institute, tampa, fl usa",9458,h lee moffitt canc center and research institute
198,"peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china","peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china","peking union medical college(peking union medical college hospital,pumc hospital,peking union medical college),beijing,china",9338,peking union medical college
