Origin Organizations,Cleaned,Filled
"chinese academy sciences, fujian institute research struct matter, state key laboratory struct chemical, fuzhou 350002, fujian, peoples r china","chinese acad sci, fujian inst res struct matter, state key lab struct chem, fuzhou 350002, fujian, peoples r china","chinese academy sciences, fujian institute research struct matter, state key laboratory struct chemical, fuzhou 350002, fujian, peoples r china"
"china pharmaceutical university(china pharmaceutical university),nanjing,china","china pharmaceutical university(china pharmaceutical university),nanjing,china","china pharmaceutical university(china pharmaceutical university),nanjing,china"
"taiyuan li gong daxue(taiyuan university of technology),taiyuan,china","taiyuan li gong daxue(taiyuan university of technology),taiyuan,china","taiyuan li gong daxue(taiyuan university of technology),taiyuan,china"
universidade federal de goias,universidade federal de goias,universidade federal de goias
berlin,berlin,berlin
"university calif los angeles, department chemical and biochem, los angeles, ca 90095 usa","univ calif los angeles, dept chem & biochem, los angeles, ca 90095 usa","university calif los angeles, department chemical and biochem, los angeles, ca 90095 usa"
xi an jiaotong university,xi an jiaotong university,xi an jiaotong university
aix marseille university,aix marseille university,aix marseille university
"nanjing agricultural university(nanjing agricultural university),nanjing,china","nanjing agricultural university(nanjing agricultural university),nanjing,china","nanjing agricultural university(nanjing agricultural university),nanjing,china"
"university texas southwestern medicine center dallas, dallas, tx 75390 usa","univ texas southwestern med ctr dallas, dallas, tx 75390 usa","university texas southwestern medicine center dallas, dallas, tx 75390 usa"
"chongqing university of medical sciences(chongqing university of medical sciences,chongqing univ. of medical sciences,chongqing medical university),chongqing,china","chongqing university of medical sciences(chongqing university of medical sciences,chongqing univ. of medical sciences,chongqing medical university),chongqing,china","chongqing university of medical sciences(chongqing university of medical sciences,chongqing univ. of medical sciences,chongqing medical university),chongqing,china"
environ,environ,environ
"institute of metal research chinese academy of sciences(chinese academy of sciences),shenyang,china","institute of metal research chinese academy of sciences(chinese academy of sciences),shenyang,china","institute of metal research chinese academy of sciences(chinese academy of sciences),shenyang,china"
"deutsches elektronen-synchrotron, hamburg, germany.","deutsches elektronen-synchrotron, hamburg, germany.","deutsches elektronen-synchrotron, hamburg, germany."
"joint institute nucl research, dubna, russia","joint inst nucl res, dubna, russia","joint institute nucl research, dubna, russia"
"novartis pharmaceut, e hanover, nj usa","novartis pharmaceut, e hanover, nj usa","novartis pharmaceut, e hanover, nj usa"
"nanchang university(nanchang university),nanchang,china","nanchang university(nanchang university),nanchang,china","nanchang university(nanchang university),nanchang,china"
"university calif irvine, department chemical, irvine, ca 92697 usa","univ calif irvine, dept chem, irvine, ca 92697 usa","university calif irvine, department chemical, irvine, ca 92697 usa"
"jinan university(jinan university),jinan,china","jinan university(jinan university),jinan,china","jinan university(jinan university),jinan,china"
"university calif davis, department chemical, davis, ca 95616 usa","univ calif davis, dept chem, davis, ca 95616 usa","university calif davis, department chemical, davis, ca 95616 usa"
"university calif los angeles, los angeles, ca 90024 usa","univ calif los angeles, los angeles, ca 90024 usa","university calif los angeles, los angeles, ca 90024 usa"
"wuhan university technology, state key laboratory adv technology materials synth and proc, wuhan 430070, peoples r china","wuhan univ technol, state key lab adv technol mat synth & proc, wuhan 430070, peoples r china","wuhan university technology, state key laboratory adv technology materials synth and proc, wuhan 430070, peoples r china"
.,.,.
"university calif san diego, department chemical and biochem, la jolla, ca 92093 usa","univ calif san diego, dept chem & biochem, la jolla, ca 92093 usa","university calif san diego, department chemical and biochem, la jolla, ca 92093 usa"
"university medicine center utrecht, utrecht, netherlands","univ med ctr utrecht, utrecht, netherlands","university medicine center utrecht, utrecht, netherlands"
"oak ridge national laboratory, oak ridge, tn 37831 usa","oak ridge natl lab, oak ridge, tn 37831 usa","oak ridge national laboratory, oak ridge, tn 37831 usa"
"fuzhou university(fuzhou university),fuzhou,china","fuzhou university(fuzhou university),fuzhou,china","fuzhou university(fuzhou university),fuzhou,china"
"pla university of science and technology(pla university of science and technology,pla univ. of sci. and technol.,pla univ. of sci. and tech.),nanjing,china","pla university of science and technology(pla university of science and technology,pla univ. of sci. and technol.,pla univ. of sci. and tech.),nanjing,china","pla university of science and technology(pla university of science and technology,pla univ. of sci. and technol.,pla univ. of sci. and tech.),nanjing,china"
